更新时间,#genre#
CCTV-5,http://139.196.151.191:2051/rtp/239.45.1.69:5140$上海电信组播源
CCTV-5,http://120.55.49.231:3095/rtp/233.50.201.197:5140$浙江电信组播源
CCTV-5,http://183.141.216.3:9999/rtp/233.50.201.197:5140$浙江电信组播源|1920x1080
CCTV-5,http://120.55.49.231:3095/rtp/233.50.201.17:5140$浙江电信组播源
CCTV-5,http://183.141.216.3:9999/rtp/233.50.201.17:5140$浙江电信组播源|1920x1080
CCTV-5,http://125.80.154.251:8003/rtp/235.254.198.54:1492$重庆电信组播源|1920x1080
CCTV-5,http://125.80.154.251:8003/rtp/235.254.198.142:1846$重庆电信组播源|1920x1080
CCTV-5,http://122.4.30.168:8688/rtp/239.21.2.46:5002$山东电信组播源|1920x1080
CCTV-5,http://122.4.30.168:8688/rtp/239.21.1.5:5002$山东电信组播源|1920x1080
CCTV-5+,http://222.218.158.86:8181/tsfile/live/0016_1.m3u8$订阅源|1920x1080
CCTV-5+,http://183.223.157.33:9901/tsfile/live/0018_1.m3u8?key=txiptv$订阅源
CCTV-5+,http://kxrj.site:998/123/mg.php?id=cctv5p$订阅源
CCTV-5+,http://115.234.227.164:8808/udp/233.50.201.220:5140$订阅源|1920x1080
CCTV-5+,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000001000018504/1.m3u8$订阅源
CCTV-5+,http://119.163.199.98:9901/tsfile/live/0016_2.m3u8$订阅源
CCTV-5+,http://119.163.228.205:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-5+,http://221.0.78.198:1681/hls/10217/index.m3u8$订阅源
CCTV-5+,http://123.129.70.178:9901/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-5+,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1000000005000265016/index.m3u8?channel-id=ystenlive&Contentid=1000000005000265016&livemode=1&stbId=no$订阅源|1920x1080
CCTV-5+,http://120.55.49.231:3095/rtp/233.50.201.220:5140$浙江电信组播源
CCTV-5+,http://183.141.216.3:9999/rtp/233.50.201.220:5140$浙江电信组播源|1920x1080
CCTV-5+,http://125.80.154.251:8003/rtp/235.254.198.122:1764$重庆电信组播源|1920x1080
CCTV-5+,http://122.4.30.168:8688/rtp/239.21.1.142:5002$山东电信组播源|1920x1080
